sample_id,size,gc,md5,organism,taxid,rep_type(s),rep_type_accession(s),relaxase_type(s),relaxase_type_accession(s),mpf_type,mpf_type_accession(s),orit_type(s),orit_accession(s),predicted_mobility,primary_cluster_id,primary_dist,secondary_cluster_id,secondary_dist
KP061858,63584,51.22200554,bb5c05b25d63d7c7120dfbae6aa2fad6,Enterobacter cloacae,550,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KX230795,78907,53.74301393,55139389f2c2e26deda9546e022056e9,Enterobacter cloacae subsp. cloacae,336306,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH531,0.025
NC_019368,87731,52.78977784,18242d4b760eb24cbcf56b510ebf178a,Enterobacter cloacae,550,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP010365,70092,51.42526965,dd491d14855eafc24b2795fee404e708,Enterobacter hormaechei subsp. oharae,301102,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP031566,64859,52.21326262,333dccce386852f845c9ac1a76835cb5,Enterobacter hormaechei,158836,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP042490,60173,52.00837585,4f8b83acd3a5665de4bad03c4678f973,Enterobacter hormaechei,158836,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP042542,88956,52.8002608,3acf9d8944ebbb3816b5826a35a5145e,Enterobacter hormaechei,158836,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP042568,88956,52.79913665,835903dd3c3b8cd86005b3c4066822de,Enterobacter hormaechei,158836,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP042574,86404,52.85519189,cd741f608461031856865ea5af99f9d0,Enterobacter hormaechei,158836,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP042580,82010,52.88379466,c54346e27042dfd0c7e15d869660c3cf,Enterobacter kobei,208224,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP019841,79101,51.00061946,bb81226fd557ac26f28d3efff00337e4,Enterobacter roggenkampii,1812935,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP022150,63458,51.16297394,adf1a7240410cc1fd6aae277db79acf7,Enterobacter roggenkampii,1812935,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP042501,96541,52.69885334,41e53540ad52fbe7fa5fd7353ef84466,Enterobacter sp. E76,2596949,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP026194,79128,51.86533212,298c2449e833e00e618eff0f6e1dc42a,Enterobacteriaceae bacterium ENNIH1,2066051,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP026188,82861,51.74931512,b301c09144bbfbee71dd116ae307c161,Enterobacteriaceae bacterium ENNIH2,1920109,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
AY422214,60145,51.47227533,12f49b171cefe7b7c3a88b83dd129451,Erwinia amylovora,552,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH530,0.025
NC_005246,60145,51.47227533,12f49b171cefe7b7c3a88b83dd129451,Erwinia amylovora,552,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH530,0.025
CP015071,69471,50.93060414,48d0f56022a7115e42c853ad7ca5a194,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP015075,63544,51.20703764,16042d4c9cf4b7063379b0efc16c0dcb,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018974,70876,51.27969976,803c5424b4ee15b7d7180f1baf06027b,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH538,0.025
CP031216,98533,52.52757959,5bfb57bdceed8d8d1557778777af91ae,Escherichia coli,562,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP031322,75645,52.54147663,ac36e8170990f1b43c607ff3486f250f,Escherichia coli,562,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH537,0.025
CP033880,65499,51.42673934,71dd1176477132dff722cbdf1e20a543,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP038457,58586,51.94073669,b5dddac9dfecca557dbdba349520fbf2,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH530,0.025
KP294351,74839,54.70142573,3344b6ddc7f97d3be8642a3042e50012,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH531,0.025
LR025098,63589,51.22269575,ef96fa16efdf5361d9b23b5c2ec823ce,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
LR025100,63589,51.22269575,ef96fa16efdf5361d9b23b5c2ec823ce,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
LR025105,63589,51.22269575,4051b62b1dbefb2d95cf2dbcd266ab9d,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
LT838202,62645,51.31135765,a072d1561ff181d639a34749d9c58f8e,Escherichia coli,562,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
LT985264,86770,53.8803734,2cb48d19969d10515c8cd31087a5058f,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH531,0.025
LT985279,63009,51.51327588,4045cacb5c303a38dab525d5f8ddbe62,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
MF156266,72932,51.64536829,7cf30206ebe0f5736b9df736ec164cbf,Escherichia coli,562,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
AP018455,86881,53.16352252,456dc550a006ec0a590a0cd805ed7bda,Klebsiella aerogenes,548,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH535,0.025
CP042532,88956,52.7980125,760ac023daadbb62f62c12942509e4d1,Klebsiella aerogenes,548,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
MG516907,85489,53.21269403,b7d5fef406acef0c10236bbe4c4f0eb3,Klebsiella aerogenes,548,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP035217,87421,53.43796113,f76656dcf42e8405bcdd895bffd28e4b,Klebsiella michiganensis,1134687,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
AB715422,87343,53.2475413,5f70e063032393970377a43d87caab16,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH525,0.025
CP011593,68910,52.12451023,e50d060135f03a5d72c48d70ac9eb311,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP011614,92095,53.22981704,b7933f0162360d85859ecd598859ef76,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP011632,83652,53.17027686,838b6ad7d8e88552d24673e5821bb87a,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP017932,76186,52.68684535,3952320ad8dbdbf8d7c66a71e4454f25,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
KJ541681,89977,54.41390578,ca7dc1c80d629b9344ab1d192586607a,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH531,0.025
NC_024997,89977,54.41390578,ca7dc1c80d629b9344ab1d192586607a,Klebsiella oxytoca,571,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH531,0.025
AP018454,78997,53.26657974,b47f7fb245a95026a3666502876f8589,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH535,0.025
AP019667,88953,52.90321855,e435b6f538c015a84631fbc92a065ca9,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH526,0.025
CP007733,80411,51.34372163,f1f90dbe248384a38f726e9dc64c7068,Klebsiella pneumoniae subsp. pneumoniae KPNIH27,1328324,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP014298,70438,51.54746018,df293f19048d230f51ec9f1f371b50ec,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP016927,72093,50.54998405,ea6aec71cc4b75c712839d862976e6e4,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP017936,76186,52.68684535,d6f5a94efb796b7202d811db578ea81b,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP018315,63587,51.22273421,95f67fc79d0ac3a1989ab3f83c7deab1,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018342,63588,51.22350129,6b42f35c11cb13a938786c7ca62a5330,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018449,67101,50.57748767,9910dc57a7a6dec1192390f5ef405aa3,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP018452,67100,50.5752608,26dcb0777ce92aa3616678a494cbb4cf,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP018461,63593,51.22419134,12b405a2e25edfca0e128f69059f23b6,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018669,88688,53.92386794,67898cee38ae4b9b054be41222e0ac48,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH527,0.025
CP018690,63589,51.22426835,d363fe684d29b187aaad471f8ab6c6c0,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018700,63588,51.22821916,b0e9fd6e0efa490e207d0e978c95cdd5,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018706,63588,51.22507391,95f4b7e388958f492455cebf9be25c2f,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018712,63583,51.22123838,ffc5ba94bf826a132e70d9e6878272a5,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018717,63589,51.22426835,1ddc4dbac3be48a6b109f8d395099f58,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018723,63588,51.22507391,8188d2aebd172ab4af2b5605a0d368c0,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP018736,63589,51.22269575,133391f28b50b145b3f3ff488cdb478c,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP019078,70987,50.47966529,2b642f8194e2280195236e9f8201693c,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP019080,70987,50.47543916,b0543a7bb51077cebd62682c9b3b7e4e,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
CP020844,74177,51.1856775,e1bf59610b64a6bcb457625db969b6b9,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP021742,76179,52.69037399,d90d7d502e0399294f3a30b8429f2980,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP022147,63605,51.20981055,e1e6f8c80b96d8cae5d62db296d08e68,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP023251,63075,51.19143876,3e04f290973550b1f44c7e11d8ff4039,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP023419,70869,51.89292921,03d30c9236fb149431a72487aa68653b,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP024878,73339,52.29686797,c8d01af29c1f589d2656e79820ddd8f2,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP026142,59379,51.76914397,496dd90d32aec69fc5b003a2e539ff07,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH535,0.025
CP026395,80642,51.79807048,a39f8dc3caded4f8f5ea42c48059c879,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH540,0.025
CP026497,55141,51.23229539,807ba03ef4479a3472810b1c8ff12da9,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH530,0.025
CP027039,63589,51.22269575,f59264c7390184ac56e76dda69dd5462,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP027699,71749,51.09339503,2afb87469d57c28cd1bded957aa1123a,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP029138,81137,53.64260448,d14fc660562cab9be0232ac4f0d56e43,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP030135,65500,51.42748092,0c597a7e70989d407eebacc292a2d558,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP031374,65380,51.41633527,f7653e5e58c3f5d0d3f0d0e5eef4389e,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP031805,65454,51.41015064,23db8538d8f1a99d80b3348206e394d0,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP032170,65672,52.30082836,2b546260f415eccc2e27c2ccf58507fb,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
CP032174,63589,51.22112315,0e3ccafc3f784e6d2e9222736061cfd0,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP034041,65202,51.44167357,47e892b713d847746f8225860b4dee19,Klebsiella pneumoniae subsp. pneumoniae,72407,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP034283,63589,51.21955055,f61296e26ef35bd5d39e9c3bc7c80df0,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP041085,63499,51.19135734,d19e06dd2249f247ad6c4118dbbab930,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP042522,87731,52.78977784,9507dc417d6148f768f9e920db13608c,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
CP044032,63589,51.22269575,6b224ff802fb631cdbb7c53cfd025d30,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
CP045017,61331,50.84704309,5f415be1dc0be9991cadab55464dad1b,Klebsiella pneumoniae subsp. pneumoniae,72407,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
EU938349,68018,51.4113911,46094f9080363f5f3266a956c7d60a21,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
HG934082,90439,53.44265195,c2d6281732967a892eab128e0a81c0a7,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH526,0.025
JN626286,61881,51.10615536,441571b551a61f4c37b9891694c6fb84,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KC335143,63578,51.22841234,5544ca0ecc7753a4e69038bb1e174966,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KC354801,71446,50.58225793,efb65b623cb7eb838e1ef09041f2e11c,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH529,0.025
KC757416,62592,51.08640082,90c6b66f3b1d2cc291ad6b8b98c5690c,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KM406491,63581,51.22756798,a15678267e58b441433fa1561a866466,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KP659188,62014,51.32066953,3150c24b5c190456ce59896066b88c53,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KT935445,78828,53.62307809,89bbe8d58487cbed795e68e9402c195b,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
KU159085,63359,51.15611042,892f49ee755a8b27de030de4aa069b48,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KU159086,66284,51.14809004,209748775ca66ab96f3eb16c5e9a3e9e,Klebsiella pneumoniae,573,IncL/M,AF550415,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH532,0.025
KX118608,68582,50.95943542,a41ccc2fd53ca03ae53a9b187c76242f,Klebsiella pneumoniae,573,IncL/M,U27345,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH528,0.025
KX523900,63566,51.25224176,48282401f550bcd91564cbe3ff246886,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
KX523901,65488,51.42926948,977f03c104ba74d1d6b02a6935298df2,Klebsiella pneumoniae,573,IncL/M,JN626286,MOBP,NC_004464_00056,,,,,,AA002,0.06,AH539,0.025
